2016-09-30 12:40:52,895 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49249
2016-09-30 12:41:46,335 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49269
2016-09-30 12:43:08,888 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49311
2016-09-30 12:44:20,294 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49342
2016-09-30 12:45:38,461 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49376
2016-09-30 12:48:06,479 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49430
2016-09-30 13:44:04,353 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49982
2016-09-30 13:46:32,343 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50110
2016-09-30 13:49:51,770 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50123
2016-09-30 13:50:51,803 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50152
2016-09-30 13:51:58,014 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1ebcae2: startup date [Fri Sep 30 13:51:58 IST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-30 13:51:58,492 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-09-30 13:51:58,492 | INFO  | PListStore:D:\Softwares\apache-activemq-5.5.1\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-09-30 13:51:58,492 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Softwares\apache-activemq-5.5.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-30 13:51:59,256 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
